Date,AA UN Equity,AXP UN Equity,BA UN Equity,BAC UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DD UN Equity,DIS UN Equity,GE UN Equity,HD UN Equity,HPQ UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,PFE UN Equity,PG UN Equity,T UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,VZ UN Equity,WMT UN Equity,XOM UN Equity
2011/1/28,16.13,43.86,69.23,13.6,95.68,20.93,93.37,50.29,38.85,20.2,36.7,45.51,159.21,21.46,60.01,44.54,31.105,73.28,87.44,33.07,27.76,18.15,64.2,27.49,55.81,40.93,81.43,35.63,56.7,78.99
2011/1/31,16.57,43.38,69.48,13.73,97.01,21.15,94.93,50.68,38.87,20.14,36.77,45.69,162,21.46,59.77,44.94,31.425,73.67,87.92,33.17,27.725,18.22,63.13,27.52,56.26,41.05,81.3,35.62,56.07,80.68
2011/2/1,17.32,43.6,70.29,14.31,98.01,21.49,96.22,51.66,39.88,20.8,36.99,46.52,163.56,21.5,60.63,45.93,31.525,73.47,87.79,34,28.01,19.22,62.92,27.87,56.81,42.07,81.83,36.27,56.33,83.91
2011/2/2,17.21,43.72,71,14.24,99.09,21.63,96.48,51.85,40.49,20.71,36.56,46.89,163.3,21.57,60.62,45.45,31.43,73.64,87.75,33.82,27.95,18.96,62.79,27.67,56.71,41.95,82.16,36.16,55.86,83.41
2011/2/3,17.21,43.53,70.98,14.43,98.93,21.91,97.31,51.93,40.5,20.75,36.7,47.33,163.53,21.57,60.8,45.46,31.285,73.83,87.95,32.9,27.65,19.17,62.9,27.99,57.25,43.04,82.22,36.38,55.92,83.44
2011/2/4,17.14,43.82,71.38,14.29,99.59,22.06,97.11,52.53,40.71,20.56,36.8,47.43,164,21.68,60.84,44.61,31.28,74.05,88.29,32.89,27.77,19.3,63.61,27.97,57.41,42.49,82.52,36.31,56.03,83.28
2011/2/7,17.32,44.82,71.93,14.67,100.47,22.05,97.66,53.33,40.94,20.87,36.6,48.14,164.82,21.69,60.87,45.5,31.26,73.45,88.79,33,28.19,19.04,64.55,27.96,57.18,41.81,83.66,36.02,56.07,83.93
2011/2/8,17.4,45.88,72.71,14.61,100.61,21.99,97.74,53.71,41.18,21.28,37.16,48.14,166.05,21.65,60.94,45.74,31.435,75.36,89.47,33.27,28.3,19.16,64.64,27.91,57.88,41.97,83.88,36.34,56.38,82.98
2011/2/9,17.16,45.72,72.63,14.64,99.79,22.04,96.24,53.83,43.36,21.31,37.17,48.94,164.65,21.46,60.88,45.11,31.575,75.93,90.78,33.09,27.97,19.05,64.39,27.97,58.81,42.07,83.98,36.68,56.73,82.55
2011/2/10,17.12,46.57,72.66,14.49,100.6,18.92,96.7,54.33,43.31,21.27,37.31,48.54,164.09,21.8,60.93,45.53,31.77,75.76,90.46,33.04,27.5,19.03,64.58,28.24,58.46,42.43,84.75,36.42,55.59,83.2
